"filename", "language", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\README.md", "Markdown", 0, 0, 6, 0, 6, 12
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\BASEMENT\subproblem.py", "Python", 231, 0, 0, 12, 34, 277
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\agent.py", "Python", 78, 0, 0, 23, 16, 117
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\graphics\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\graphics\blender\replay.py", "Python", 46, 0, 0, 7, 22, 75
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\graphics\graphics.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\infrastructure.py", "Python", 87, 0, 0, 3, 11, 101
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\model.py", "Python", 133, 0, 0, 8, 17, 158
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\resource.py", "Python", 72, 0, 0, 13, 14, 99
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\settlement.py", "Python", 89, 0, 0, 28, 16, 133
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test.py", "Python", 6, 0, 0, 0, 4, 10
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_others.py", "Python", 93, 0, 0, 6, 24, 123
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_settlement.py", "Python", 133, 0, 0, 0, 9, 142
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_tools\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_tools\test_boundery.py", "Python", 14, 0, 0, 1, 7, 22
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_tools\test_degradation.py", "Python", 48, 0, 0, 0, 5, 53
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_tools\test_entity.py", "Python", 8, 0, 0, 0, 3, 11
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_tools\test_source.py", "Python", 38, 0, 0, 0, 8, 46
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_tools\test_statistical_distribution.py", "Python", 39, 0, 0, 0, 9, 48
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\test\test_tools\test_unit.py", "Python", 41, 0, 0, 0, 10, 51
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\__init__.py", "Python", 5, 0, 0, 2, 0, 7
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\boundery\__init__.py", "Python", 1, 0, 0, 0, 0, 1
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\boundery\boundery.py", "Python", 31, 0, 0, 10, 14, 55
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\degradation.py", "Python", 89, 0, 0, 53, 24, 166
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\entity.py", "Python", 36, 0, 0, 8, 8, 52
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\source1.py", "Python", 61, 0, 0, 30, 29, 120
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\source\__init__.py", "Python", 2, 0, 0, 0, 0, 2
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\source\dynamic.py", "Python", 33, 0, 0, 16, 14, 63
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\source\static.py", "Python", 41, 0, 0, 15, 15, 71
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\statistical_distribution\__init__.py", "Python", 1, 0, 0, 0, 0, 1
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\statistical_distribution\statistical_distribution.py", "Python", 57, 0, 0, 6, 18, 81
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\unit\__init__.py", "Python", 1, 0, 0, 0, 0, 1
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\tools\unit\unit.py", "Python", 143, 0, 0, 39, 35, 217
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\pied-piper\transportation.py", "Python", 80, 0, 0, 9, 17, 106
"c:\Users\Aslan\Documents\Projects\GitHub\pied-piper\requirements.txt", "pip requirements", 0, 11, 0, 0, 1, 12
"Total", "-", 1737, 11, 6, 289, 395, 2438